# ID_1                     RA_1       DEC_1     Redshift    ID_2                      RA_2               DEC_2                Sep                  Separation          
  LAMOST221722.46+010436.3 334.34357  1.07676   2.7941      iDR3.STRIPE82-0136.042690 334.3435194955581  1.0767543256819685   0.18292803382407927  0.18292803371056557 
  LAMOST030757.55+000712.0 46.989798  0.12001   -9999.0     iDR3.STRIPE82-0068.006406 46.98979992986573  0.12001736947822109  0.027424717455700486 0.02742471745970634 
  LAMOST025100.65+001707.2 42.7527    0.28534   2.45532     iDR3.STRIPE82-0062.010390 42.752679777779875 0.28537351158432817  0.14090467729450284  0.14090467728404474 
  LAMOST015409.27+002645.3 28.53862   0.44591   -0.00308016 iDR3.STRIPE82-0042.018967 28.53861595248377  0.44591290339986683  0.017931876514443276 0.01793187651155436 
  LAMOST012301.79+000323.3 20.75747   0.05648   1.36157     iDR3.STRIPE82-0032.003020 20.757412140628695 0.056552555358909476 0.33408278721919915  0.3340827872214959  
  LAMOST011829.63+004549.5 19.62345   0.76374   0.313434    iDR3.STRIPE82-0030.034826 19.623433609428748 0.7637166618270906   0.10266461609126935  0.1026646160889257  
  LAMOST120858.80+002854.4 182.24501  0.48177   -9999.0     iDR3.SPLUS-n01s24.054385  182.24506607020393 0.4817670007643951   0.20213417868754385  0.20213417875287126 
  LAMOST121022.49+005002.1 182.5937   0.83392   1.36019     iDR3.SPLUS-n02n24.007790  182.59374383367492 0.8339468327896736   0.18500577056911524  0.18500577053979023 
  LAMOST115806.91-004238.8 179.528807 -0.710773 -9999.0     iDR3.SPLUS-n01s22.000104  179.5288295948278  -0.710595059654891   0.6457281587348623   0.6457281587432115  
  LAMOST213455.08+001056.9 323.729502 0.18246   3.29682     iDR3.STRIPE82-0120.007072 323.72952597635833 0.18243498988079668  0.12472667415583286  0.12472667412413102 
  LAMOST120826.38-031840.9 182.109909 -3.311363 2.48712     iDR3.SPLUS-n03s24.005063  182.10992401154323 -3.311391402842348   0.1156107937072387   0.11561079369431727 
  LAMOST025607.24+011038.7 44.03017   1.177422  1.34768     iDR3.STRIPE82-0064.069216 44.030210339218165 1.1774555299992027   0.18881395164588324  0.18881395164321488 
  LAMOST001526.53+001813.1 3.860527   0.303647  1.36615     iDR3.STRIPE82-0008.013742 3.860510825587982  0.30372362004255427  0.2819109218828415   0.2819109218829548  
  LAMOST213925.57+012345.6 324.856556 1.395994  1.38647     iDR3.STRIPE82-0122.059408 324.8565425689696  1.3959856038859333   0.05700975317498618  0.05700975317488489 
