# ID RA DEC Redshift
SDSSJ100215.84-001056.2 150.56599 -0.18226843 0.3531285524368286
SDSSJ113528.42-011023.7 173.86843 -1.1732363 1.363812804222107
SDSSJ120038.28+011246.3 180.15948 1.2128693 1.3584496974945068
SDSSJ120123.24+002828.4 180.34685 0.4745465 1.3673779964447021
SDSSJ121942.46-001821.4 184.92691 -0.30593417 1.338140845298767
SDSSJ122130.97+010727.9 185.37906 1.1244127 1.3702797889709473
SDSSJ100539.87+040914.7 151.41614 4.1540907 1.3557075262069702
SDSSJ142627.19+050354.0 216.61331 5.0649955 0.34629642963409424
SDSSJ222956.55+003126.4 337.48561 0.52398865 1.3394863605499268
SDSSJ230201.20+003047.1 345.50501 0.51307949 1.345332384109497
SDSSJ231231.37-011137.5 348.13072 -1.1937498 1.3663289546966553
SDSSJ233025.50-000510.9 352.60626 -0.086357706 0.3200126588344574
SDSSJ221811.46-005631.3 334.5477599999999 -0.94201835 1.3513355255126953
SDSSJ221546.92-015906.6 333.9455 -1.9851678 1.361212968826294
SDSSJ224114.58-003700.6 340.31075 -0.61683516 0.005864477250725031
SDSSJ225411.97-004949.6 343.5498600000001 -0.8304352 3.297503709793091
SDSSJ225358.85-011721.0 343.49522 -1.2891663 1.3744480609893799
SDSSJ231742.60+000535.1 349.42751 0.093087013 0.3207310736179352
SDSSJ213925.57+012345.6 324.8565599999999 1.3959936 1.3918418884277344
SDSSJ233104.40-004237.2 352.76833 -0.710329 1.3559372425079346
SDSSJ002237.91+000519.0 5.657951 0.088611 1.3725605010986328
SDSSJ010907.60+000649.8 17.28167 0.113844 1.3720229864120483
SDSSJ142653.88+052517.3 216.72451 5.4214744 0.32278528809547424
SDSSJ224531.20-004509.5 341.38001 -0.752626 1.3727058172225952
SDSSJ033458.48-000743.9 53.743661 -0.12886023 1.355521559715271
SDSSJ122406.30+004500.2 186.02625 0.75005905 0.3516789674758911
SDSSJ121855.80+020002.2 184.73252 2.000607 0.3270913064479828
SDSSJ233731.79+002559.6 354.38245 0.43322609 0.3138214945793152
SDSSJ011829.64+004549.4 19.623481 0.76372123 0.3136635422706604
SDSSJ033226.30-011126.2 53.109602 -1.190619 1.3615583181381226
SDSSJ215922.03-002243.1 329.8418 -0.378627 -0.000597357633523643
SDSSJ114329.34-020319.7 175.87226 -2.0554768 3.3037068843841553
SDSSJ135440.17+015827.6 208.66737 1.9743251 3.2913477420806885
SDSSJ230855.49+003705.7 347.23122 0.61824398 1.7830164432525635
SDSSJ013802.77-010035.0 24.511526 -1.0097263 2.46097469329834
SDSSJ022639.89-011431.3 36.666223 -1.242014 1.3669613599777222
SDSSJ001753.83+005057.6 4.47428450000001 0.8493461 1.3576345443725586
SDSSJ220529.34-003110.7 331.37225 -0.519646 2.451643466949463
SDSSJ213338.14+012628.8 323.4089300000001 1.441333 1.0097906589508057
SDSSJ221722.46+010436.3 334.34357 1.076763 1.4015401601791382
SDSSJ013837.29+002818.5 24.655373 0.471818 1.3513144254684448
SDSSJ014921.53-003221.1 27.33972599999998 -0.53919101 1.3824211359024048
SDSSJ021645.02+000842.5 34.18757800000003 0.14515 1.3681524991989136
SDSSJ015409.27+002645.2 28.53863899999999 0.44590101 1.354788899421692
SDSSJ010705.56+000608.9 16.77316000000002 0.10248 1.3599210977554321
SDSSJ010614.39+011409.4 16.55994700000002 1.235956 1.3548051118850708
SDSSJ012301.79+000323.3 20.757473 0.056479999 1.3635213375091553
SDSSJ013500.10-004113.4 23.750413 -0.68706521 1.2621171474456787
SDSSJ015331.86+002252.9 28.382744 0.38136263 1.36948823928833
SDSSJ020200.07-000921.1 30.500281 -0.15586804 1.3572136163711548
SDSSJ020922.00-005455.6 32.341666 -0.91544007 1.3707114458084106
SDSSJ021810.52-010147.5 34.543839 -1.0298477 1.3513705730438232
SDSSJ023248.72+005138.8 38.202988 0.86077236 0.34399640560150146
SDSSJ030757.55+000711.9 46.989794 0.11998386 1.3425660133361816
SDSSJ031428.26+004506.7 48.617756 0.75186801 0.334221750497818
SDSSJ031937.30-002641.1 49.905417 -0.44473731 1.3747345209121704
SDSSJ233348.85-010237.9 353.45355 -1.0438649 3.275554895401001
SDSSJ234440.54-001205.8 356.1689 -0.201624 5.453393896459602e-05
SDSSJ235718.36+004350.4 359.32651 0.73065817 4.366762638092041
SDSSJ000637.99-003656.3 1.658311000000026 -0.61562688 4.435016632080078
SDSSJ000809.35+004935.6 2.0389409 0.82654799 3.293405055999756
SDSSJ001950.06-004040.8 4.958577900000023 -0.67800979 4.3490753173828125
SDSSJ002540.19-001531.4 6.417456000000016 -0.258714 1.3532363176345825
SDSSJ005006.35-005319.3 12.52645899999999 -0.88869372 4.300933361053467
SDSSJ010336.41-005508.6 15.90169600000002 -0.9190677 2.4518537521362305
SDSSJ013034.18-002106.6 22.64241700000002 -0.3518384 3.2350919246673584
SDSSJ023635.69-003203.6 39.14871699999998 -0.534332 1.3620915412902832
SDSSJ023020.94+001355.5 37.587266 0.232087 0.3348298966884613
SDSSJ023322.61+005059.6 38.34419800000001 0.84988349 0.00015475710097234696
SDSSJ024234.94-010351.9 40.64557600000001 -1.064427 1.3697514533996582
SDSSJ025252.02-002211.8 43.216769 -0.36994777 1.3701097965240479
SDSSJ024852.87-002042.3 42.22029800000001 -0.34509634 0.009015650488436222
SDSSJ014721.12-004505.3 26.83801 -0.75147437 1.3480225801467896
SDSSJ014017.06-005003.0 25.0711 -0.83417502 0.3344068229198456
SDSSJ235805.26-012154.0 359.5219099999999 -1.364988 1.3673704862594604
SDSSJ004243.87+011702.0 10.68279699999999 1.2838834 1.366474986076355
SDSSJ121805.58-021503.8 184.52325 -2.2510586 0.37184756994247437
SDSSJ223439.93+004127.2 338.66636 0.69089559 0.0001388813543599099
SDSSJ223633.54+002652.6 339.13973 0.44793182 1.3543906211853027
SDSSJ230351.64+010651.0 345.96517 1.1141683 -1.4441603525483515e-05
SDSSJ232555.50-003710.8 351.48125 -0.61966412 0.3318917155265808
SDSSJ233722.02+002239.0 354.34175 0.37749261 1.3792706727981567
SDSSJ022714.48+010536.1 36.810348 1.0933602 0.34858590364456177
SDSSJ030449.86-000813.4 46.207754 -0.13706169 3.2877440452575684
SDSSJ032244.91+004442.4 50.687132 0.74510684 0.30429449677467346
SDSSJ033429.44+000611.0 53.622683 0.10305002 0.3478197455406189
SDSSJ033821.51+003106.4 54.589645 0.51844802 1.3515472412109375
SDSSJ033818.72+001153.6 54.577998 0.19821633 1.5895451307296753
SDSSJ115748.00+014320.8 179.45 1.722435 1.3651808500289917
SDSSJ000918.76-003907.2 2.3281774 -0.65200332 0.31634095311164856
SDSSJ001912.40+000319.7 4.8016544 0.055480558 1.370976209640503
SDSSJ001526.53+001813.1 3.8605274 0.30364724 1.3651775121688843
SDSSJ001559.59+004212.8 3.9983094 0.70356657 1.335996389389038
SDSSJ003208.54-005303.8 8.0355773 -0.88438087 1.3410943746566772
SDSSJ002951.46+004159.8 7.4644222 0.6999389 0.3146156668663025
SDSSJ004918.54+011308.9 12.327232 1.219143 1.3440120220184326
SDSSJ011542.19+002300.3 18.925783 0.38340584 1.3725959062576294
SDSSJ204340.04+002853.4 310.91682 0.48151376 0.3165498375892639
SDSSJ204956.62-001201.7 312.48591 -0.20048362 0.36902621388435364
SDSSJ204720.76+000007.7 311.83652 0.0021361666 3.0715000320924446e-05
SDSSJ205316.77+005920.9 313.31988 0.98915183 4.333379745483398
SDSSJ205352.04-001601.6 313.46682 -0.26710468 0.36249497532844543
SDSSJ210014.12+004446.0 315.05882 0.74610065 -0.0001113781618187204
SDSSJ210514.04-004326.7 316.30848 -0.72407194 3.250427484512329
SDSSJ031618.00-003025.2 49.075006 -0.50700749 0.31648048758506775
SDSSJ022345.13-004847.2 35.93804 -0.81311085 1.3692623376846313
SDSSJ004335.14-003729.8 10.896403 -0.62495218 -3.840235422103433e-06
SDSSJ003625.39-002907.3 9.1058116 -0.4853652 0.30857253074645996
SDSSJ222021.17+004039.3 335.0882 0.67757074 0.3288438618183136
SDSSJ205712.69+001211.3 314.30288 0.20315023 0.3346914052963257
SDSSJ120021.77-024331.0 180.09069 -2.7252888 3.2481958866119385
SDSSJ115754.25-013815.8 179.47604 -1.6377307 4.415555000305176
SDSSJ121435.25-015924.5 183.64687 -1.9901346 3.2335617542266846
SDSSJ123122.77-025149.3 187.84488 -2.8636822 3.259552001953125
SDSSJ120920.53-002855.4 182.33556 -0.48204204 3.2372052669525146
SDSSJ132023.46-004730.9 200.09775 -0.79191678 3.255718946456909
SDSSJ031845.17-001845.4 49.688225 -0.31260498 3.2215988636016846
SDSSJ003859.33-004252.3 9.747228000000007 -0.7145214 2.5117387771606445
SDSSJ003438.39+001417.4 8.659946999999988 0.238157 3.3089003562927246
SDSSJ004415.82-004303.1 11.06593700000002 -0.71753499 3.24807071685791
SDSSJ004400.27+004724.7 11.00110999999998 0.79019504 0.3446032702922821
SDSSJ020115.53+003135.0 30.31471199999999 0.52640102 0.3622753322124481
SDSSJ010619.24+004823.3 16.58018700000002 0.80647784 4.440167427062988
SDSSJ212336.03+005616.3 320.90012 0.93786987 4.316286087036133
SDSSJ215002.70+011343.8 327.51124 1.2288411 3.2926201820373535
SDSSJ223649.60+005413.5 339.20668 0.90375844 3.313253879547119
SDSSJ225149.75-002811.7 342.9572800000001 -0.46992452 3.2290024757385254
SDSSJ230544.20-002532.1 346.43415 -0.42558 2.5351357460021973
SDSSJ230444.16-010251.7 346.1840099999999 -1.047689 1.3776322603225708
SDSSJ230428.33+005701.3 346.1180400000001 0.95035435 0.31681495904922485
SDSSJ014227.07+001729.8 25.61280699999998 0.291621 -4.9355552619090304e-05
SDSSJ015819.77-001222.2 29.582381 -0.20615729 3.2855353355407715
SDSSJ015935.48+000401.3 29.897854 0.067018114 3.27852463722229
SDSSJ020025.41+002916.6 30.105886 0.48795799 0.312644898891449
SDSSJ021617.19-011046.9 34.07162499999998 -1.1797059 3.2646379470825195
SDSSJ024059.15+004545.8 40.24647499999998 0.76273096 3.2337698936462402
SDSSJ025100.65+001707.2 42.752703 0.28533551 2.4662647247314453
SDSSJ231259.07+010805.6 348.24613 1.1349014 3.2956037521362305
SDSSJ002940.02+010528.6 7.416759000000013 1.091264 1.3876323699951172
SDSSJ023230.64-011654.6 38.12765899999999 -1.281822 1.3651466369628906
SDSSJ220954.57-012717.7 332.47739 -1.45491 3.2962398529052734
SDSSJ222011.76-015930.9 335.04901 -1.9919034 1.3447786569595337
SDSSJ113722.20+014858.7 174.3425099999999 1.8163158 -0.00022350589279085398
SDSSJ003117.70+001705.1 7.823760199999981 0.28474017 4.336455345153809
SDSSJ003545.86+002305.9 8.941073000000017 0.384986 3.2407162189483643
SDSSJ005043.28-000016.1 12.68032099999999 -0.0044595441 1.3617268800735474
